
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
AC:F1:DF:CA:2F:8C, 2016-05-30 02:49:59, 2016-05-30 02:52:21, 11,  54, WPA2, CCMP TKIP,PSK, -15,     1312,    47895, 192.168.  0.  1,   6, LACASA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
34:4D:F7:82:CA:EF, 2016-05-30 02:50:01, 2016-05-30 02:51:10, -81,       23, AC:F1:DF:CA:2F:8C,
20:A9:9B:17:03:C4, 2016-05-30 02:52:00, 2016-05-30 02:52:09, -80,       67, AC:F1:DF:CA:2F:8C, LACASA
00:1C:BF:14:4E:17, 2016-05-30 02:49:59, 2016-05-30 02:52:17, -71,     5160, AC:F1:DF:CA:2F:8C,
AC:B5:7D:7D:F8:30, 2016-05-30 02:50:00, 2016-05-30 02:52:21, -69,    22859, AC:F1:DF:CA:2F:8C, LACASA
90:94:E4:07:4C:36, 2016-05-30 02:50:02, 2016-05-30 02:52:20, -68,       65, AC:F1:DF:CA:2F:8C,
CC:52:AF:8E:EC:C2, 2016-05-30 02:50:00, 2016-05-30 02:52:20, -59,      267, AC:F1:DF:CA:2F:8C,
5C:F8:A1:2E:0B:4B, 2016-05-30 02:49:59, 2016-05-30 02:52:05, -56,      191, AC:F1:DF:CA:2F:8C,
00:C3:60:1F:CA:65, 2016-05-30 02:50:22, 2016-05-30 02:51:46, -55,      420, AC:F1:DF:CA:2F:8C,
20:82:C0:21:91:24, 2016-05-30 02:49:59, 2016-05-30 02:52:10, -34,    19128, AC:F1:DF:CA:2F:8C,

